StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q14,Q14_DO,Q15,desktop,desktop_DO,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,beatles,beatles_DO,se.beatles,se.beatles_DO,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,alcapone,se.alcapone,se.alcapone_DO,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,vangogh,vangogh_DO,se.vangogh,se.vangogh_DO,natalia,natalia_DO,Q58,Q58_DO,spain,spain_DO,Q60,Q60_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q58,Q58_DO,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q38,FL_90_DO,FL_12_DO,Google_default_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to participate in the study?,What is your Prolific ID?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication.","What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication. - Display Order","To make sure you are not a robot, please move the marker to 7. Thanks!",Are you taking the survey from a desktop computer?,Are you taking the survey from a desktop computer? - Display Order,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the shortest Beatles song?,What is the shortest Beatles song? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What were the charges for which Al Capone was criminally convicted the first time he went to jail?,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is Vincent van Gogh's second most expensive painting ever sold?,What is Vincent van Gogh's second most expensive painting ever sold? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What was the first name of Leon Trotsky’s wife when he passed away?,What was the first name of Leon Trotsky’s wife when he passed away? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What country founded the oldest permanent European settlement in what is now the United States?,What country founded the oldest permanent European settlement in what is now the United States? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Google","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Bing","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - DuckDuck Go","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Yahoo","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Display Order","Please, select all the search engines you have used in the last 3 months","Please, select all the search engines you have used in the last 3 months - Display Order",In what year were you born?,What is the highest academic degree you have earned?,"Approximately, how many hours a day do you usually spend using a computer?","Approximately, how many hours a day do you usually spend using a computer? - Display Order",What gender do you identify with?,What gender do you identify with? - Display Order,What ethnicity do you identify with?,What ethnicity do you identify with? - Display Order,How many years have you been using computers for?,This study intended to test whether people tend to stick to a search engine assigned by default. Would you like to share any thoughts with us?,FL_90 - Block Randomizer - Display Order,FL_12 - Block Randomizer - Display Order,Google_default - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID52""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_DO""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_DO""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_DO""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_DO""}","{""ImportId"":""QID99""}","{""ImportId"":""QID99_DO""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_DO""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_DO""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_DO""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_DO""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_DO""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_DO""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_DO""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_DO""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""FL_90_DO""}","{""ImportId"":""FL_12_DO""}","{""ImportId"":""BL_0PLfmcwbNAYyooC_DO""}"
2023-07-13 16:53:12,2023-07-13 16:55:20,1,,100,128,1,2023-07-13 16:55:21,R_3rSChK2g6sbCP97,,,,,37.7506,-122.4121,preview,EN,0.8999999761581421,1,007,,,,,5,2|5|4|1|3,7,2,2|1,5.965,7.498,11.17,2,4,2|4|7|1|5|6|3,2,5|2|3|1|4,3.248,5.916,11.276,2,1,2,5|3|2|4|1,2.094,4.412,11.356,2,18,20|18|19|22|23|21|17,2,1|4|5|2|3,3,5|4|2|3|1,2,4|5|3|1|2,3,3|5|4|2|1,2,1|3|2|4|5,2.82,2.52,2.88,0.25,3|5|1|2,1,5|2|1|6|4|3,0077,4,2,1|3|5|2|4,1,2|4|1|3,7,2|7|1|5|3|6|4,5,no thanks,No_video,Bing_default,
2023-07-13 16:55:39,2023-07-13 16:55:57,1,,100,18,1,2023-07-13 16:55:58,R_3qqHoRRLzM6q5JH,,,,,37.7506,-122.4121,preview,EN,0.8999999761581421,2,0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13 16:56:10,2023-07-13 16:56:34,1,,100,23,1,2023-07-13 16:56:35,R_AtcPZXpecJ61syt,,,,,37.7506,-122.4121,preview,EN,0.8999999761581421,1,007,,,,,4,1|3|5|4|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13 17:11:57,2023-07-13 17:16:02,0,75.133.241.142,100,244,1,2023-07-13 17:16:03,R_3J58wZ0pvqP3gp3,,,,,43.6055,-84.7796,anonymous,EN,1,1,60fde4dee9fab6ac2c315eed,,,,,5,5|2|4|3|1,7,2,1|2,21.602,25.757,27.696,2,4,7|2|1|3|4|5|6,2,2|4|1|3|5,5.927,27.117,27.551,7,2,2,4|1|5|2|3,3.672,15.411,16.767,5,23,17|19|20|18|23|21|22,2,1|5|3|4|2,3,2|1|3|4|5,2,2|4|5|1|3,3,4|5|3|2|1,2,1|5|4|2|3,4.43,3.53,0.3,3.4,3|1|2|5,"1,3",6|1|4|5|2|3,2002,4,1,4|5|3|1|2,2,1|4|2|3,1,4|6|3|1|2|5|7,3,no,Video,Bing_default,
2023-07-13 17:17:48,2023-07-13 17:20:57,0,73.212.123.177,100,188,1,2023-07-13 17:20:57,R_cwoKjNCij0WLqxP,,,,,39.3516,-76.629,anonymous,EN,1,1,6244481dbf7c4232bdc59f51,,,,,5,1|2|3|5|4,7,2,1|2,11.715,13.699,14.787,2,4,7|4|3|6|1|2|5,1,2|5|1|4|3,3.799,31.195,44.962,7,2,1,3|1|2|4|5,1.111,13.219,13.917,4,23,17|21|23|22|20|18|19,1,3|2|5|4|1,3,3|1|5|4|2,1,3|2|5|4|1,3,1|2|4|3|5,1,4|5|1|2|3,4.57,0.73,0.43,1.53,2|5|1|3,1,1|6|2|5|4|3,2003,3,2,2|3|5|1|4,3,1|3|4|2,4,4|1|5|3|2|7|6,5,No,No_video,Google_default,google_default
2023-07-13 17:22:46,2023-07-13 17:26:31,0,73.233.26.30,100,225,1,2023-07-13 17:26:32,R_1C0UnycZCquoupI,,,,,39.9843,-75.2266,anonymous,EN,1,1,62be15645f5936a6d2c592cd,,,,,5,1|2|5|4|3,7,1,1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No_video,Google_default,google_default
2023-07-13 17:20:54,2023-07-13 17:27:08,0,24.193.59.42,100,373,1,2023-07-13 17:27:08,R_3fwSLn6D1ogfFwf,,,,,40.7123,-74.0068,anonymous,EN,1,1,55f0e9044779250005dd2d36,,,,,5,1|5|4|2|3,7,2,1|2,15.273,17.897,19.498,2,4,7|3|2|4|5|6|1,2,1|5|4|3|2,9.12,80.858,83.204,3,2,2,2|5|4|3|1,42.211,45.116,46.708,2,17,17|18|19|22|21|23|20,2,2|5|4|1|3,3,1|2|3|4|5,2,3|1|5|4|2,3,2|1|5|3|4,2,1|4|5|2|3,3.5,2.5,4,1.63,2|1|3|5,"1,3",2|1|3|6|4|5,1997,5,4,2|5|4|1|3,2,4|3|1|2,1,1|5|3|6|4|7|2,5,,Video,Bing_default,
2023-07-13 17:33:33,2023-07-13 17:34:14,0,172.59.220.70,100,40,1,2023-07-13 17:34:14,R_2sQQb0OP9O4ATed,,,,,34.0021,-81.0423,anonymous,EN,0.8999999761581421,1,5ceee28f98b49a0018756e92,,,,,1,4|3|2|1|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
