StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q14,Q14_DO,Q15,Q105_1,Q105_2,Q105_3,Q105_5,Q105_DO,Q106,Q106_DO,desktop,desktop_DO,beatles,beatles_DO,se.beatles,se.beatles_DO,alcapone,alcapone_DO,se.alcapone,se.alcapone_DO,bowie,bowie_DO,se.bowie.,se.bowie._DO,spain,spain_DO,se.spain,se.spain_DO,bombay,bombay_DO,se.bombay,se.bombay_DO,grammy,grammy_DO,se.grammy,se.grammy_DO,love,love_DO,se.love,se.love_DO,trotsky,trotsky_DO,se.trotsky,se.trotsky_DO,1962,1962_DO,se.1962,se.1962_DO,led.zep,led.zep_DO,se.lep.zep,se.lep.zep_DO,grammy,grammy_DO,se.grammy,se.grammy_DO,love,love_DO,se.love,se.love_DO,trotsky,trotsky_DO,se.trotsky,se.trotsky_DO,1962,1962_DO,se.1962,se.1962_DO,led.zep,led.zep_DO,se.lep.zep,se.lep.zep_DO,beatles,beatles_DO,se.beatles,se.beatles_DO,alcapone,alcapone_DO,se.alcapone,se.alcapone_DO,bowie,bowie_DO,se.bowie.,se.bowie._DO,spain,spain_DO,se.spain,se.spain_DO,bombay,bombay_DO,se.bombay,se.bombay_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q58,Q58_DO,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q38,FL_12_DO,FL_96_DO,Google_default_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to participate in the study?,What is your Prolific ID?,"What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication.","What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication. - Display Order","To make sure you are not a robot, please move the marker to 7. Thanks!","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Google","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Bing","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - DuckDuck Go","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Yahoo","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Display Order","Please, select all the search engines you have used in the last 3 months","Please, select all the search engines you have used in the last 3 months - Display Order",Are you taking the survey from a desktop computer?,Are you taking the survey from a desktop computer? - Display Order,What is the shortest Beatles song?,What is the shortest Beatles song? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What were the charges for which Al Capone was criminally convicted the first time he went to jail?,What were the charges for which Al Capone was criminally convicted the first time he went to jail? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What was David Bowie's original name?,What was David Bowie's original name? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What country founded the oldest permanent European settlement in what is now the United States?,What country founded the oldest permanent European settlement in what is now the United States? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What stock was the third worst performing on the NYSE in 1994?,What stock was the third worst performing on the NYSE in 1994? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","Who is the only singer to win the Grammy Awards for Album, Record, and Song of the Year twice? Both of the winning albums had titles that were two-digit numbers","Who is the only singer to win the Grammy Awards for Album, Record, and Song of the Year twice? Both of the winning albums had titles that were two-digit numbers - Display Order","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","In what language does the word ""tính-yêu"" exist, which is said to describe a unique and profound form of love that is considered nearly impossible to translate into other languages?","In what language does the word ""tính-yêu"" exist, which is said to describe a unique and profound form of love that is considered nearly impossible to translate into other languages? - Display Order","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What was the first name of Leon Trotsky’s wife when he passed away?,What was the first name of Leon Trotsky’s wife when he passed away? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What countries lost the semi-finals in the 1962 male soccer world cup?,What countries lost the semi-finals in the 1962 male soccer world cup? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What is the higest-selling Led Zeppelin album?,What is the higest-selling Led Zeppelin album? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","Who is the only singer to win the Grammy Awards for Album, Record, and Song of the Year twice? Both of the winning albums had titles that were two-digit numbers","Who is the only singer to win the Grammy Awards for Album, Record, and Song of the Year twice? Both of the winning albums had titles that were two-digit numbers - Display Order","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","In what language does the word ""tính-yêu"" exist, which is said to describe a unique and profound form of love that is considered nearly impossible to translate into other languages?","In what language does the word ""tính-yêu"" exist, which is said to describe a unique and profound form of love that is considered nearly impossible to translate into other languages? - Display Order","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What was the first name of Leon Trotsky’s wife when he passed away?,What was the first name of Leon Trotsky’s wife when he passed away? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What countries lost the semi-finals in the 1962 male soccer world cup?,What countries lost the semi-finals in the 1962 male soccer world cup? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What is the higest-selling Led Zeppelin album?,What is the higest-selling Led Zeppelin album? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What is the shortest Beatles song?,What is the shortest Beatles song? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What were the charges for which Al Capone was criminally convicted the first time he went to jail?,What were the charges for which Al Capone was criminally convicted the first time he went to jail? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What was David Bowie's original name?,What was David Bowie's original name? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What country founded the oldest permanent European settlement in what is now the United States?,What country founded the oldest permanent European settlement in what is now the United States? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",What stock was the third worst performing on the NYSE in 1994?,What stock was the third worst performing on the NYSE in 1994? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Google","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Bing","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - DuckDuck Go","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Yahoo","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Display Order","Please, select all the search engines you have used in the last 3 months","Please, select all the search engines you have used in the last 3 months - Display Order",In what year were you born?,What is the highest academic degree you have earned?,"Approximately, how many hours a day do you usually spend using a computer?","Approximately, how many hours a day do you usually spend using a computer? - Display Order",What gender do you identify with?,What gender do you identify with? - Display Order,What ethnicity do you identify with?,What ethnicity do you identify with? - Display Order,This study intended to test whether people tend to stick to a search engine assigned by default. Would you like to share any thoughts with us?,FL_12 - Block Randomizer - Display Order,FL_96 - Block Randomizer - Display Order,Google_default - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID52""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID105_2""}","{""ImportId"":""QID105_3""}","{""ImportId"":""QID105_5""}","{""ImportId"":""QID105_DO""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_DO""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_DO""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_DO""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_DO""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID156""}","{""ImportId"":""QID156_DO""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_DO""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_DO""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_DO""}","{""ImportId"":""QID108""}","{""ImportId"":""QID108_DO""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_DO""}","{""ImportId"":""QID136""}","{""ImportId"":""QID136_DO""}","{""ImportId"":""QID137""}","{""ImportId"":""QID137_DO""}","{""ImportId"":""QID138""}","{""ImportId"":""QID138_DO""}","{""ImportId"":""QID139""}","{""ImportId"":""QID139_DO""}","{""ImportId"":""QID140""}","{""ImportId"":""QID140_DO""}","{""ImportId"":""QID141""}","{""ImportId"":""QID141_DO""}","{""ImportId"":""QID142""}","{""ImportId"":""QID142_DO""}","{""ImportId"":""QID143""}","{""ImportId"":""QID143_DO""}","{""ImportId"":""QID144""}","{""ImportId"":""QID144_DO""}","{""ImportId"":""QID145""}","{""ImportId"":""QID145_DO""}","{""ImportId"":""QID110""}","{""ImportId"":""QID110_DO""}","{""ImportId"":""QID111""}","{""ImportId"":""QID111_DO""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_DO""}","{""ImportId"":""QID116""}","{""ImportId"":""QID116_DO""}","{""ImportId"":""QID99""}","{""ImportId"":""QID99_DO""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_DO""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_DO""}","{""ImportId"":""QID117""}","{""ImportId"":""QID117_DO""}","{""ImportId"":""QID115""}","{""ImportId"":""QID115_DO""}","{""ImportId"":""QID118""}","{""ImportId"":""QID118_DO""}","{""ImportId"":""QID146""}","{""ImportId"":""QID146_DO""}","{""ImportId"":""QID147""}","{""ImportId"":""QID147_DO""}","{""ImportId"":""QID148""}","{""ImportId"":""QID148_DO""}","{""ImportId"":""QID149""}","{""ImportId"":""QID149_DO""}","{""ImportId"":""QID150""}","{""ImportId"":""QID150_DO""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_DO""}","{""ImportId"":""QID152""}","{""ImportId"":""QID152_DO""}","{""ImportId"":""QID153""}","{""ImportId"":""QID153_DO""}","{""ImportId"":""QID154""}","{""ImportId"":""QID154_DO""}","{""ImportId"":""QID155""}","{""ImportId"":""QID155_DO""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_DO""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_DO""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_DO""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_DO""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_DO""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""FL_12_DO""}","{""ImportId"":""FL_96_DO""}","{""ImportId"":""BL_0PLfmcwbNAYyooC_DO""}"
2023-09-28 12:47:17,2023-09-28 12:59:29,0,107.146.131.134,100,731,1,2023-09-28 12:59:29,R_2BlH4vLPNaVvCOB,,,,,33.4979,-86.8125,anonymous,EN,0.8999999761581421,1,5e790129bd76c94a7b3aa7b6,5,3|4|1|5|2,7,4.57,1.61,1.54,2.51,1|2|3|5,"1,3",2|5|3|1|6|4,2,1|2,4,5|1|6|7|2|4|3,2,1|4|3|5|2,2,4|7|5|3|6|1|2,1,5|1|2|4|3,17,21|19|22|18|23|17|20,2,3|5|4|1|2,3,4|5|2|3|1,2,2|1|4|3|5,1,4|3|2|6|1|5|7,2,5|1|2|4|3,5,1|2|5|3|6|4|7,2,3|5|2|1|4,4,1|6|3|2|7|4|5,"1,2",5|2|3|1|4,3,5|1|3|2|4,"1,2",1|4|3|2|5,2,1|6|7|5|2|3|4,"1,2",2|5|3|4|1,2,4|6|7|5|2|3|1,1,3|2|5|1|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,3.57,1.57,1.54,2|5|3|1,"1,3",6|3|5|1|2|4,1961,5,4,3|5|1|2|4,2,1|4|2|3,2,6|1|7|3|5|4|2,"I still prefer google.  The bing layout is not as familiar to me, so I don't trust it.  ",Bing_default,easyfirst,
2023-09-28 13:06:14,2023-09-28 13:06:56,0,147.144.3.239,100,41,1,2023-09-28 13:06:57,R_2xL5tpcuB05SAwA,,,,,37.7771,-122.406,anonymous,EN,1,1,60ffc34686313b457837591e,1,1|2|5|3|4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28 12:58:30,2023-09-28 13:08:19,0,174.74.154.98,100,589,1,2023-09-28 13:08:20,R_3qwfeRX2XaU9JSe,,,,,33.3054,-111.7401,anonymous,EN,1,1,60a0112f4dc7f653b245c172,5,4|5|1|2|3,7,4.49,2.93,3.59,3.33,2|3|1|5,"1,2",2|5|1|6|4|3,2,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2|7|5|3|6|1|4,1,3|2|4|5|1,4,7|3|4|6|2|1|5,1,5|2|4|1|3,3,4|5|3|1|2,1,4|1|5|3|2,2,7|6|2|5|3|1|4,1,1|2|5|4|3,2,5|7|4|3|1|6|2,1,3|4|1|5|2,4,5|2|6|7|4|1|3,1,3|2|5|4|1,2,5|1|3|4|6|7|2,1,4|2|5|3|1,17,20|21|23|17|22|18|19,1,2|5|3|1|4,3,2|5|1|3|4,1,1|4|3|2|5,1,6|4|5|2|3|1|7,1,1|3|4|5|2,5,3.59,3.59,3.33,1|2|5|3,"1,2",5|3|4|2|6|1,1972,4,4,3|1|2|4|5,2,2|4|1|3,1,6|2|1|4|5|7|3,"I honestly prefer Google, but use DuckDuck Go on my phone. This was an interesting study and I learned some things!",Google_default,Block12.hardquestionsfirst,google_default
2023-09-28 13:04:06,2023-09-28 13:11:12,0,71.194.31.123,100,425,1,2023-09-28 13:11:13,R_23iMMR7T3W3plEl,,,,,41.9017,-87.6563,anonymous,EN,0.800000011920929,1,61317cebedaee3cf8e6e52e9,5,1|2|5|3|4,7,3.85,2.75,1.92,1.82,5|2|1|3,1,4|5|1|3|2|6,2,1|2,4,4|6|5|3|2|7|1,2,3|2|5|1|4,1,5|6|2|3|7|4|1,2,4|3|5|1|2,17,22|17|19|20|21|23|18,2,1|2|4|3|5,3,3|5|1|2|4,2,1|2|5|3|4,1,7|2|5|1|6|3|4,2,2|1|5|3|4,5,6|1|5|3|4|7|2,2,4|1|5|2|3,4,2|7|1|4|6|5|3,2,1|2|3|4|5,3,1|5|3|4|2,2,3|2|5|4|1,2,4|5|2|3|6|1|7,2,4|3|5|2|1,2,7|5|3|1|2|6|4,2,5|4|1|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,2.78,1.92,1.95,3|1|2|5,"1,3",2|3|4|5|6|1,1994,4,2,3|1|2|4|5,2,3|4|2|1,1,3|6|2|1|7|5|4,,Bing_default,easyfirst,
2023-09-28 13:02:13,2023-09-28 13:14:04,0,66.38.119.252,100,711,1,2023-09-28 13:14:05,R_2zeVsiFh0SYyF4n,,,,,36.7614,-86.1929,anonymous,EN,0.8999999761581421,1,559d303cfdf99b7e7408f0c2,5,2|1|3|5|4,7,5,3,4,1,5|3|2|1,"1,2,3",6|2|4|5|3|1,2,1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3|2|6|4|1|5|7,2,5|3|4|1|2,4,1|7|6|4|2|5|3,2,3|2|4|1|5,3,4|2|5|1|3,2,3|5|4|2|1,2,2|5|3|7|6|4|1,2,4|2|1|5|3,2,1|2|3|7|5|4|6,2,3|2|4|5|1,4,4|1|7|2|5|3|6,2,5|4|2|1|3,2,5|3|7|6|2|4|1,2,2|5|1|3|4,17,21|23|22|19|18|17|20,2,3|5|1|2|4,1,4|1|2|5|3,2,3|5|4|1|2,1,3|4|5|6|7|1|2,2,2|5|1|4|3,5,3,3,1,5|2|1|3,"1,2,3",2|4|6|3|1|5,1963,2,4,3|4|5|1|2,2,4|3|2|1,1,3|4|6|5|7|2|1,I wanted to follow directions and use Bing but I did have to change the search string to get the information.,Bing_default,Block12.hardquestionsfirst,
2023-09-28 13:08:12,2023-09-28 13:14:30,0,107.178.9.130,100,378,1,2023-09-28 13:14:31,R_2ruupTH0leY9Joi,,,,,31.7934,-97.5245,anonymous,EN,0.8999999761581421,1,5f4fe42aa8de8e1136e85064,5,2|5|3|1|4,7,4,4,4,3,2|3|5|1,1,5|3|4|2|6|1,2,1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1|3|6|4|5|7|2,1,4|3|1|2|5,4,2|3|1|5|7|6|4,1,5|2|3|1|4,3,2|4|3|5|1,1,5|4|2|3|1,2,3|1|6|5|4|2|7,1,1|2|5|4|3,2,7|4|3|2|6|5|1,1,2|4|1|5|3,4,3|4|6|2|1|5|7,1,3|4|2|1|5,2,7|3|2|5|6|4|1,1,4|5|3|1|2,17,18|20|17|19|21|22|23,1,2|1|3|5|4,3,5|2|4|1|3,1,1|5|3|4|2,1,4|7|5|1|2|6|3,1,2|1|3|5|4,4,5,4,3,5|3|2|1,1,2|6|4|1|5|3,1994,5,5,3|2|4|1|5,1,3|1|2|4,1,2|4|7|6|3|5|1,I stuck to it because it is what I'm used to,Google_default,Block12.hardquestionsfirst,google_default
2023-09-28 13:06:29,2023-09-28 13:15:08,0,35.148.235.57,100,518,1,2023-09-28 13:15:09,R_PIFwEC56V5B5lXr,,,,,34.9803,-81.9168,anonymous,EN,1,1,60321bd53ecd7d1e0edab63c,5,3|4|1|5|2,7,4.5,3.50,2,3.25,2|5|3|1,"1,3",6|3|1|5|2|4,2,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5|1|3|2|6|7|4,1,3|5|2|1|4,4,2|6|3|7|5|4|1,1,1|5|3|4|2,3,4|5|2|1|3,1,1|3|5|4|2,6,5|2|6|7|4|1|3,1,3|4|5|2|1,2,3|4|6|5|2|1|7,1,5|4|3|2|1,4,4|3|6|5|7|1|2,1,4|1|3|5|2,2,7|2|4|1|6|5|3,1,3|2|4|5|1,17,20|21|18|19|17|22|23,1,2|4|5|1|3,3,4|1|5|2|3,1,5|2|1|3|4,1,2|6|1|7|5|4|3,1,4|2|3|5|1,4.5,3.5,2.5,3.25,2|1|5|3,"1,3",6|1|2|4|5|3,1967,3,5,1|4|3|5|2,2,2|4|1|3,1,6|3|7|5|4|2|1,no,Google_default,Block12.hardquestionsfirst,google_default
2023-09-28 13:07:39,2023-09-28 13:15:29,0,68.205.94.29,100,470,1,2023-09-28 13:15:29,R_29iVyco3j5U6Fcy,,,,,28.5344,-81.3783,anonymous,EN,1,1,5ce158b01d1060001a810a2d,5,4|1|2|5|3,7,3.93,2.57,2.53,1.5,3|5|1|2,"1,3",3|4|5|1|6|2,2,1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7|6|5|3|4|2|1,1,3|5|1|2|4,4,3|7|2|5|6|1|4,1,4|1|3|5|2,3,2|3|5|1|4,1,1|5|4|3|2,7,3|6|2|1|4|5|7,1,4|3|5|2|1,2,7|6|3|5|2|1|4,1,2|5|4|3|1,4,6|1|3|4|2|7|5,1,2|4|3|5|1,2,6|5|3|2|1|7|4,1,5|1|3|2|4,17,18|22|23|20|19|21|17,1,5|2|1|3|4,3,5|4|1|2|3,1,5|1|4|3|2,1,6|3|1|4|7|5|2,1,1|5|4|3|2,4.47,2.47,1.47,2.5,1|5|3|2,"1,3,5",3|2|5|4|6|1,1987,1,5,3|1|4|2|5,2,4|1|3|2,1,1|6|5|7|4|3|2,"I think they do. If it's worked for them, why switch.",Google_default,Block12.hardquestionsfirst,google_default
