StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q14,Q14_DO,Q15,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,choice_screen,choice_screen_DO,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,desktop,desktop_DO,survey_version,default_assigned,default_assigned_DO,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,beatles,beatles_DO,se.beatles,se.beatles_DO,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,alcapone,se.alcapone,se.alcapone_DO,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,vangogh,vangogh_DO,se.vangogh,se.vangogh_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q58,Q58_DO,choice screen,choice screen_DO,survey.type.weather,survey.type.weather_DO,Q55,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,austin,app_austin,app_austin_DO,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,cambridge,app_cambridge,app_cambridge_DO,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,cupertino,app_cupertino,app_cupertino_DO,Q31_1,Q31_2,Q31_3,Q31_DO,Q54,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q38,rid,gc,Q_UnansweredPercentage,Q_UnansweredQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,FL_12_DO,default_DO,video.weather_DO,weather_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to participate in the study?,What is your Prolific ID?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication.","What is the result of 5 X 2? We must ensure that our participants pay attention while completing the survey. This is an attention check. To ensure you are paying attention, please, select the option none of the above below and don't do the multiplication. - Display Order","To make sure you are not a robot, please move the marker to 7. Thanks!",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What search engine would you like to use? (you are free to switch to whichever you like whenever you want).

 

Please, select one option and click on its logo. A new window will open where you will look for the answers. When you come back to this window, please go to the next question.","What search engine would you like to use? (you are free to switch to whichever you like whenever you want).

 

Please, select one option and click on its logo. A new window will open where you will look for the answers. When you come back to this window, please go to the next question. - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you taking the survey from a desktop computer?,Are you taking the survey from a desktop computer? - Display Order,What version of the survey were you assigned to?,What search engine were you assigned to?,What search engine were you assigned to? - Display Order,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the shortest Beatles song?,What is the shortest Beatles song? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What were the charges for which Al Capone was criminally convicted the first time he went to jail?,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is Vincent van Gogh's second most expensive painting ever sold?,What is Vincent van Gogh's second most expensive painting ever sold? - Display Order,"What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used)","What search engine(s) did you use to find the answer? (if you used more than one, please select all that you used) - Display Order","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Google","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Bing","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - DuckDuck Go","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Yahoo","Please, rate the quality of the following search engines (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or more options. Just give your best guess. - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please, select all the search engines you have used in the last 3 months","Please, select all the search engines you have used in the last 3 months - Display Order","What weather application would you like to use? (you are free to switch to whichever you like at any time).

 

Please, select one option and then click on its logo to open a new window in which you may look for the forecasts. When you come back to this window, please go to the next question.","What weather application would you like to use? (you are free to switch to whichever you like at any time).

 

Please, select one option and then click on its logo to open a new window in which you may look for the forecasts. When you come back to this window, please go to the next question. - Display Order",What version of the survey did you get?,What version of the survey did you get? - Display Order,What application were you assigned to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is the probability it will rain in Austin, TX, on July 19?",What weather application(s) did you use to find the forecast?,What weather application(s) did you use to find the forecast? - Display Order,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is the probability it will rain in Cambridge, MA, on July 19?",What weather application(s) did you use to find the forecast?,What weather application(s) did you use to find the forecast? - Display Order,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is the probability it will rain in Cupertino, CA on July 19?",What weather application(s) did you use to find the forecasts?,What weather application(s) did you use to find the forecasts? - Display Order,"Please, rate the quality of the following weather forecast applications (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or two options. Just give your best guess. - Weather Channel","Please, rate the quality of the following weather forecast applications (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or two options. Just give your best guess. - AccuWeather","Please, rate the quality of the following weather forecast applications (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or two options. Just give your best guess. - Weather Underground","Please, rate the quality of the following weather forecast applications (0 = not useful at all, 5 = extremely useful). It does not matter if you don't know one or two options. Just give your best guess. - Display Order",What weather application(s) have you used in the last 3 months?,In what year were you born?,What is the highest academic degree you have earned?,"Approximately, how many hours a day do you usually spend using a computer?","Approximately, how many hours a day do you usually spend using a computer? - Display Order",What gender do you identify with?,What gender do you identify with? - Display Order,What ethnicity do you identify with?,What ethnicity do you identify with? - Display Order,How many years have you been using computers for?,This study intended to test whether people tend to stick to a search engine assigned by default. Would you like to share any thoughts with us?,rid,gc,Q_UnansweredPercentage,Q_UnansweredQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,FL_12 - Block Randomizer - Display Order,default - Display Order,video.weather - Display Order,weather - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID52""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_DO""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID66""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_DO""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_DO""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_DO""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_DO""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_DO""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_DO""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_DO""}","{""ImportId"":""QID72""}","{""ImportId"":""QID72_DO""}","{""ImportId"":""QID79""}","{""ImportId"":""QID79_DO""}","{""ImportId"":""QID90""}","{""ImportId"":""QID94_FIRST_CLICK""}","{""ImportId"":""QID94_LAST_CLICK""}","{""ImportId"":""QID94_PAGE_SUBMIT""}","{""ImportId"":""QID94_CLICK_COUNT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID84""}","{""ImportId"":""QID84_DO""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID85""}","{""ImportId"":""QID85_DO""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID86_DO""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID82_DO""}","{""ImportId"":""QID97""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_DO""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_DO""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_DO""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""rid""}","{""ImportId"":""gc""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""FL_12_DO""}","{""ImportId"":""BL_0PLfmcwbNAYyooC_DO""}","{""ImportId"":""BL_3EH3V9HuEL6cgAK_DO""}","{""ImportId"":""BL_250fRtC5RmyRjXU_DO""}"
2023-07-12 16:44:08,2023-07-12 16:50:49,1,,100,401,1,2023-07-12 16:50:50,R_2cwiqrnTgzDbLkN,,,,,37.7506,-122.4121,preview,EN,1,1,,,,,,5,5|2|4|1|3,7,,,,,,,17.488,17.488,23.562,1,2,2|1,2,3,2|1|4|3,18.045,20.762,26.35,2,4,4|5|1|6|7|3|2,3,3|1|4|2|5,48.376,51.244,52.648,2,2,3,5|4|1|2|3,5.593,8.763,10.905,2,19,18|19|21|23|22|17|20,3,1|4|2|5|3,4.82,4.22,2.45,4.22,2|5|3|1,6.503,20.274,21.857,6,1,3|2|5|6|1|4,,,2,1|2,3,75.315,77.547,78.524,2,1,3,3|4|1|2,3.922,5.589,11.201,2,1,3,3|2|1|4,3.146,5.714,11.314,2,1,3,2|3|4|1,4,4,4,3|2|1,4,1987,5,,2|1|3|5|4,1,1|4|3|2,7,6|3|4|7|5|2|1,5,,,1,0.09375,"QID34,QID38,QID98",0,0,,default,yahoo_default|Q42,description,default_wu
2023-07-12 16:59:50,2023-07-12 17:08:16,0,73.92.234.150,100,505,1,2023-07-12 17:08:17,R_ULOAK2rrMBLzMBj,,,,,37.3313,-121.8401,anonymous,EN,0.8999999761581421,1,60c701efc22d9a81c8003de7,,,,,5,1|3|2|5|4,7,14.069,14.069,17.377,1,1,5|2|3|1,,,,,2,1|2,1,,,10.857,36.377,38.637,4,4,3|4|5|1|7|2|6,1,1|2|5|4|3,8.936,35.838,36.856,6,2,1,4|2|3|1|5,4.595,17.363,18.719,4,23,22|23|21|20|17|19|18,1,1|3|4|2|5,4.88,3.65,2.65,2.72,1|2|3|5,6.851,29.3,31.929,12,"1,3,5",4|2|1|5|6|3,,,2,2|1,3,82.651,87.175,88.916,2,1,3,4|1|2|3,5.652,42.924,44.179,4,1,3,4|1|2|3,3.535,6.971,12.923,2,1,3,3|4|2|1,5,3,3,1|3|2,1,1972,4,2,4|2|5|1|3,2,4|2|3|1,7,7|3|2|5|1|4|6,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wu
2023-07-12 17:07:55,2023-07-12 17:08:51,0,74.62.123.74,100,55,1,2023-07-12 17:08:51,R_1igvdS0EeXgpgGN,,,,,39.0679,-94.713,anonymous,EN,1,1,5ad2c8334d061300011b1985,,,,,5,5|1|4|3|2,7,,,,,,,9.34,19.637,20.22,3,1,1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,default,bing_default|Q42,,
2023-07-12 17:01:37,2023-07-12 17:13:31,0,172.113.4.218,100,713,1,2023-07-12 17:13:31,R_8ePaLZoatVILZWp,,,,,34.0544,-117.2555,anonymous,EN,1,1,60ffa21ba51f18ff487f837b,,,,,5,5|2|3|4|1,7,,,,,,,9.833,9.833,24.642,1,2,1|2,2,4,2|4|3|1,49.316,54.919,56.607,2,4,6|4|2|1|5|7|3,4,1|5|4|3|2,40.474,43.337,44.564,2,2,4,5|3|4|1|2,48.776,50.355,51.727,2,17,19|23|18|20|17|22|21,4,4|1|5|3|2,4.83,0.5,4.53,0.37,3|2|5|1,6.7,21.478,22.949,8,"1,2",2|6|3|4|1|5,,,2,2|1,2,96.805,99.393,100.502,2,1,2,4|1|3|2,80.451,83.351,84.663,2,1,2,1|2|3|4,64.805,66.485,67.966,2,3,2,1|3|2|4,4,5,2,3|1|2,2,2002,3,2,1|2|5|4|3,2,2|1|3|4,3,7|2|3|5|1|4|6,5,I used the search engines provided and they worked just as well as my regular ones.,,1,0,,0,0,,default,duckduckgo_default|Q42,description,default_aw
2023-07-12 17:17:15,2023-07-12 17:23:08,0,67.149.193.11,100,352,1,2023-07-12 17:23:08,R_3PtulMhmWC5Ndbs,,,,,32.3849,-86.2404,anonymous,EN,1,1,5f1f4b0c3d892e12f981e49f,,,,,5,5|3|4|1|2,7,2.394,7.199,16.47,2,1,3|5|1|2,,,,,2,1|2,1,,,10.62,16.195,18.027,2,4,5|4|6|3|1|7|2,1,4|5|3|2|1,23.901,48.281,49.537,3,1,1,4|5|2|1|3,19.301,25.434,26.199,2,23,23|19|18|17|20|21|22,1,5|1|2|4|3,5,3.46,3.49,1.96,3|1|5|2,4.601,23.536,25.098,10,"1,2",4|2|1|5|3|6,2,3|2|1,1,1|2,,67.624,70.389,71.198,2,1,2,1|3|4|2,18.46,20.123,20.783,2,1,2,3|4|2|1,17.115,21.035,21.602,2,3,2,2|3|4|1,5,4,4,1|3|2,"1,2",2003,3,3,4|2|1|3|5,1,1|2|4|3,4,2|5|7|3|6|4|1,4,,,1,0.03125,QID38,0,0,,choice_screen,,description,choice screen
2023-07-12 17:10:15,2023-07-12 17:23:32,0,68.160.161.58,100,796,1,2023-07-12 17:23:32,R_XBUI22xVUMwUZQR,,,,,42.4337,-71.4568,anonymous,EN,1,1,5ecbfc627a51250bfb1f297f,,,,,5,1|4|5|2|3,7,15.019,16.59,17.323,3,1,3|2|1|5,,,,,2,1|2,1,,,4.289,24.218,25.576,9,4,5|2|1|7|3|4|6,1,2|4|5|1|3,3.081,19.938,20.863,9,2,1,3|4|2|5|1,1.801,26.351,27.346,7,23,20|18|22|21|23|17|19,1,4|3|1|2|5,5,3,0,3,2|3|1|5,8.263,23.642,25.77,12,"1,5",2|1|3|5|6|4,,,2,1|2,1,33.178,39.085,40.403,5,1,1,4|1|3|2,22.912,26.647,29.004,3,3,1,3|1|4|2,445.876,451.615,452.87,6,1,1,4|1|3|2,5,5,5,3|2|1,"1,2",1995,2,2,5|1|2|3|4,2,1|4|3|2,1,7|6|2|3|5|4|1,5,No,,1,0,,0,0,,choice_screen,,description,default_wc
2023-07-12 17:19:10,2023-07-12 17:24:13,0,76.185.101.231,100,302,1,2023-07-12 17:24:13,R_yrbz3b1OXHviKNH,,,,,32.8008,-96.7884,anonymous,EN,1,1,5fe7da95957b611b25e210f5,,,,,5,5|4|3|2|1,7,,,,,,,3.357,3.357,8.327,1,2,2|1,2,1,3|2|4|1,16.513,18.425,19.338,2,4,6|7|1|4|3|2|5,1,3|2|5|4|1,4.894,14.476,14.752,4,2,1,4|2|3|1|5,1.85,13.239,13.975,3,23,22|20|17|18|19|23|21,1,3|5|2|4|1,4.58,3.65,3.01,2.18,2|1|3|5,4.648,18.63,19.557,10,"1,2",3|1|5|2|6|4,2,2|1|3,1,1|2,,29.4,31.273,31.982,2,1,2,4|3|1|2,28.634,30.747,31.483,2,1,2,1|3|4|2,18.301,19.573,20.114,2,3,2,1|4|3|2,4,4,3,2|3|1,"1,2",2000,5,4,4|5|3|1|2,1,2|3|1|4,4,5|4|3|2|1|6|7,4,I think this is a true statement,,1,0,,0,0,,default,google_default|Q42,description,choice screen
2023-07-12 17:22:09,2023-07-12 17:30:09,0,65.43.86.89,100,480,1,2023-07-12 17:30:10,R_3j0ai9MP35b3kJ3,,,,,33.7485,-84.3871,anonymous,EN,0.8999999761581421,1,60fddfdc3ffd5143f1d13edc,,,,,5,5|2|1|3|4,7,1.852,1.852,10.99,1,1,3|2|1|5,,,,,2,1|2,1,,,26.323,27.824,28.861,2,4,3|6|1|5|2|4|7,1,2|3|1|5|4,3.213,16.363,17.381,4,2,1,1|4|2|3|5,2.252,18.583,21.339,4,23,22|19|20|18|21|17|23,1,1|2|4|3|5,4.43,1.37,0.47,2.7,5|3|1|2,4.732,42.848,44.204,5,1,3|1|4|6|2|5,,,2,1|2,3,80.984,84.125,85.464,2,1,3,4|1|3|2,5.868,22.552,23.475,3,2,4,3|4|1|2,24.703,35.803,36.56,4,1,1,4|3|2|1,4,1,2,3|2|1,1,1993,4,5,5|4|2|3|1,2,2|3|1|4,1,1|7|2|6|3|5|4,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wu
